Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. (Dr.) Keynan, Wehliye Adan, CBS, MP",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/860e3c633b6ce74ee8a3064d9a8d0cdd_M.jpg,Wajir,Eldas,JP,Elected
"Hon. Abdi, Yusuf Hassan",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/531fa9636bc95fc322dfb7a73f42bbbf_M.jpg,Nairobi,Kamukunji,JP,Elected
"Hon. Abdullah, Bashir Sheikh",http://www.parliament.go.ke/index.php/sites/default/files/styles/mp_photo/public/2017-10/06f4997694d4fbc67e936ed9847b6d35_M.jpg,Mandera,Mandera North,JP,Elected
"Hon. Abuor, Paul",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c71fd534850869fd13f91e0993d9dddb_M.jpg,Migori,Rongo,ODM,Elected
"Hon. Adagala, Beatrice Kahai",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/bce0f859edd7399a9211f0de3e5e0a10_M.jpg,Vihiga,Vihiga,ANC,Elected
"Hon. Adan, Safia Sheikh",http://www.parliament.go.ke/index.php/sites/default/files/styles/mp_photo/public/2017-10/4ba80adb85a1e17536e4e0616bc60990_M.jpg,Marsabit,Marsabit,JP,Elected
"Hon. Ahmed, Shakeel Ahmed Shabbir",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c07f134e0f4dfa9628ce03732dcbcd15_M.jpg,Kisumu,Kisumu East,IND,Elected
"Hon. Alfah, Miruka Ondieki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b025045f4f2e8832c57d1f3413acf539_M.jpg,Kisii,Bomachoge Chache,KNC,Elected
"Hon. Ali, Adan Haji",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f16c3089012335af8414b146795098dc_M.jpg,Mandera,Mandera South,JP,Elected
"Hon. Ali, Amin Deddy Mohamed",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f99abe01004e55861ffe30d81bd582e8_M.jpg,Laikipia,Laikipia East,JP,Elected
"Hon. Ali, Fatuma Gedi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/331cc23b99ba1f3968c8e515604da6be_M.jpg,Wajir,Wajir,PDR,Elected
"Hon. Ali, Sharif Athman",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e2b0261e1c50dc271e2baecf577af371_M.jpg,Lamu,Lamu East,JP,Elected
"Hon. Aluoch, John Olago",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d615156b6c83d0ed6e4a0f85ce341a17_M.jpg,Kisumu,Kisumu West,FORD-K,Elected
"Hon. Amin, Rashid Kassim",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/fcc674c9aea15c292f8b296612164388_M.jpg,Wajir,Wajir East,WDM-K,Elected
"Hon. Amollo, Paul Otiende",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d9db825e422ebda626554a84f9df350a_M.jpg,Siaya,Rarieda,ODM,Elected
"Hon. Angatia, Ayub Savula",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/bb07d6737f95e5edb1ed95dd57d3d01d_M.jpg,Kakamega,Lugari,ANC,Elected
"Hon. Angwenyi, Jimmy Nuru Ondieki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/44359994484f5fab27c5151b0fc3de0b_M.jpg,Kisii,Kitutu Chache North,JP,Elected
