lat,commodity,price,date,location,units,lon
-1.2920659,White Maize,1424.00,2000-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1467.00,2000-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1392.00,2000-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1404.00,2000-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1496.00,2000-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1685.00,2000-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1681.00,2000-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1655.00,2000-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1544.00,2000-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1488.00,2000-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1520.00,2000-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1490.00,2000-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1413.00,2001-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1335.00,2001-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1298.00,2001-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1244.00,2001-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1191.00,2001-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1182.00,2001-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1063.00,2001-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1000.00,2001-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,975.00,2001-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,917.00,2001-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,804.00,2001-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,799.00,2001-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,842.00,2002-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,838.00,2002-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,697.00,2002-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,750.00,2002-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,883.00,2002-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1048.00,2002-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1000.00,2002-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,990.00,2002-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1000.00,2002-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1060.00,2002-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1120.00,2002-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1180.00,2002-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1190.00,2003-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1200.00,2003-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1013.00,2003-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1038.00,2003-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1465.00,2003-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1492.00,2003-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1467.00,2003-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2003-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1513.00,2003-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1650.00,2003-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1362.00,2003-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1323.00,2003-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1335.00,2004-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1433.00,2004-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2004-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2004-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2004-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1490.00,2004-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1569.00,2004-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1617.00,2004-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1584.00,2004-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1589.00,2004-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1600.00,2004-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1600.00,2004-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1480.00,2005-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1600.00,2005-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2005-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2005-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2005-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1510.00,2005-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1480.00,2005-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2005-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1200.00,2005-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2005-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1550.00,2005-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1600.00,2005-12-12,Nairobi,90 kg bag,36.8219462
